Location,address,city,state,lat,lng,county_fips,county_name,zip
54th St Enid Plant,201 S Raleigh Rd,Enid,Oklahoma,36.42323,-97.78833,40047,Garfield,73701
Albany Plant,2294 KY 90 W,Albany,Kentucky,36.73201,-85.13324,21053,Clinton,42602
Albany Waste Water Plant,2294 KY 90 W,Albany,Kentucky,36.73201,-85.13324,21053,Clinton,42602
Albertville Plant,6600 Hwy 431 S,Albertville,Alabama,34.25273,-86.26023,01095,Marshall,35950
Amarillo Plant,5000 FM1912,Amarillo,Texas,35.37511,-101.80307,48375,Potter,79108
Amherst Plant,1833 Cooper Foster Park,Amherst,Ohio,41.36825,-82.25958,39093,Lorain,44001
Berry Street Plant,600 N Berry St,Springdale,Arkansas,36.17746,-94.051,05143,Washington,72764
Berryville Plant,110 W Freeman Ave,Berryville,Arkansas,36.35047,-93.55736,05015,Carroll,72616
Blountsville Plant,67240 Main St,Blountsville,Alabama,34.10256,-86.5455,01009,Blount,35031
Bowling Green Plant,1388 Production Avenue,Bowling Green,Kentucky,37.06552,-86.47809,21227,Warren,42101
Broken Bow Plant,5322 South Park Drive,Broken Bow,Oklahoma,34.15411,-94.81959,40089,McCurtain,74728
Camilla Plant,7220 US Hwy 19,Camilla,Georgia,31.20749,-84.28438,13205,Mitchell,31730
Camilla Waste Water Plant,7220 US Hwy 19,Camilla,Georgia,31.20749,-84.28438,13205,Mitchell,31730
Carthage Plant,1484 NE Loop,Carthage,Texas,32.12788,-94.28109,48365,Panola,75633
Carthage Plant (Choctaw),3865 Hwy 35 North,Carthage,Mississippi,32.7868,-89.50718,28079,Leake,39051
Caseyville Plant,12 Tucker Drive,Caseyville,Illinois,38.63266,-90.00509,17163,St. Clair,62232
Center Processing Plant,1019 Shelbyville St,Center,Texas,31.72999,-94.20077,48419,Shelby,75935
Ceres Plant,1785 Interplex Drive,Vicksburg,Mississippi,32.4554,-90.83307,28149,Warren,39183
Chicago Plant (Bruss),3548 N Kostner Ave,Chicago,Illinois,41.94667,-87.74693,17031,Cook,60641
Chick-N-Quick Plant,400 W Olrich St,Rogers,Arkansas,36.32214,-93.9922,05007,Benton,72756
Cincinnati Plant,9990 Princeton Glendale Rd,Cincinnati,Ohio,39.2906,-84.46612,39061,Hamilton,45246
Claremont Plant,3437 E Main Street,Claremont,North Carolina,35.73103,-81.13837,37035,Catawba,28610
