month_date_yyyymm,postal_code,city state,median_listing_price,median_listing_price_yy,active_listing_count,active_listing_count_yy,new_listing_count,new_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_yy,average_listing_price,average_listing_price_yy,total_listing_count,total_listing_count_yy,quality_flag,Zip,TysonZip,state,lat,lng,county_fips,county_name
202303,71944,"grannis, ar",231950.0,,2.0,,0.0,,150.0,,1530.0,,231950.0,,2.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202302,71944,"grannis, ar",304900.0,,1.0,,0.0,,157.0,,1944.0,,304900.0,,1.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202301,71944,"grannis, ar",304900.0,,1.0,,0.0,,157.0,,1944.0,,304900.0,,1.0,0.0,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202212,71944,"grannis, ar",304900.0,1.6513,1.0,0.0,0.0,,157.0,0.7021,1944.0,0.5577,304900.0,1.6513,1.0,0.0,1.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202211,71944,"grannis, ar",324900.0,1.8252,1.0,0.0,0.0,-1.0,167.0,0.8137,1944.0,0.5577,324900.0,1.8252,1.0,0.0,1.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202210,71944,"grannis, ar",324900.0,,1.0,,0.0,,167.0,,1944.0,,324900.0,,1.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202112,71944,"grannis, ar",115000.0,,1.0,,0.0,,92.0,,1248.0,,115000.0,,1.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202111,71944,"grannis, ar",115000.0,,1.0,,2.0,,92.0,,1248.0,,115000.0,,1.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202106,71944,"grannis, ar",49900.0,,1.0,,2.0,,30.0,,1648.0,,49900.0,,1.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202105,71944,"grannis, ar",125000.0,,0.0,,0.0,,83.0,,1501.0,,125000.0,,0.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202104,71944,"grannis, ar",125000.0,,1.0,,4.0,,83.0,,1501.0,,125000.0,,1.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
202001,71944,"grannis, ar",450000.0,,2.0,,0.0,,309.0,,1456.0,,450000.0,,2.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
201912,71944,"grannis, ar",450000.0,,2.0,,0.0,,309.0,,1456.0,,450000.0,,2.0,,0.0,71944,71944,AR,34.23922,-94.32517,5113,Polk
