TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft,City,State,Zip,lat,lng,county_fips,county_name
73701,"526 E Cottonwood Ln, Enid, OK 73701","Enid, OK 73701",For Sale,290000.0,3.0,2.0,1582.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"111 S 14th St, Enid, OK 73701","Enid, OK 73701",For Sale,129900.0,3.0,2.5,1508.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"701 W Nagel Ave, Enid, OK 73701","Enid, OK 73701",For Sale,84900.0,3.0,1.0,1040.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"425 N Candlewood St, Enid, OK 73701","Enid, OK 73701",For Sale,125000.0,3.0,2.0,1824.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"2822 E Paradise Ln, Enid, OK 73701","Enid, OK 73701",Pending,142000.0,2.0,2.0,2414.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"3202 Hillcrest Dr, Enid, OK 73701","Enid, OK 73701",For Sale,99900.0,2.0,1.0,931.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"514 N 19th St, Enid, OK 73701","Enid, OK 73701",For Sale,62000.0,3.0,1.0,1015.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"619 Kenwood Blvd, Enid, OK 73701","Enid, OK 73701",For Sale,94900.0,4.0,2.0,1212.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"3216 Brooks Dr, Enid, OK 73701","Enid, OK 73701",For Sale,119000.0,3.0,1.5,950.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"451 N 19th St, Enid, OK 73701","Enid, OK 73701",For Sale,152500.0,3.0,2.5,1815.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"1508 Katie Ln, Enid, OK 73701","Enid, OK 73701",Pending,239900.0,4.0,2.5,2448.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"2024 E Elm Ave, Enid, OK 73701","Enid, OK 73701",For Sale,85000.0,5.0,3.0,2208.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"609 N 13th St, Enid, OK 73701","Enid, OK 73701",For Sale,16500.0,2.0,1.0,994.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"2102 E Elm Ave, Enid, OK 73701","Enid, OK 73701",For Sale,125000.0,3.0,1.5,1983.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"922 Harvest Dr, Enid, OK 73701","Enid, OK 73701",For Sale,147000.0,3.0,2.0,1419.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
73701,"615 Windmeer Ave, Enid, OK 73701","Enid, OK 73701",For Sale,284900.0,4.0,2.5,2307.0,Enid,OK,73701,36.42323,-97.78833,40047,Garfield
