TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft,City,State,Zip
73701,1201 E Broadway Ave Apt B,"Enid, OK 73701",House,625,1,1,956.0,Enid,OK,73701
73701,1201 E Broadway Ave Apt J,"Enid, OK 73701",House,700,1,1,,Enid,OK,73701
73701,609 N 13th St,"Enid, OK 73701",House,425,2,1,1080.0,Enid,OK,73701
73701,624 N 10th St,"Enid, OK 73701",House,650,2,1,,Enid,OK,73701
73701,812 W Elm Ave,"Enid, OK 73701",House,850,3,2,,Enid,OK,73701
73701,1910 N Grand St,"Enid, OK 73701",House,2000,2,1,,Enid,OK,73701
73701,401 S 19th St,"Enid, OK 73701",House,495,2,1,829.0,Enid,OK,73701
73701,1306 Nancy Dr,"Enid, OK 73701",House,725,2,1,890.0,Enid,OK,73701
73701,1906 E Pine Ave,"Enid, OK 73701",House,650,2,1,1018.0,Enid,OK,73701
73701,726 N 14th St,"Enid, OK 73701",House,695,3,1,885.0,Enid,OK,73701
73701,1219 N Kennedy St,"Enid, OK 73701",House,900,2,1,1000.0,Enid,OK,73701
73701,2612 E Maple Ave,"Enid, OK 73701",House,1125,3,2,1152.0,Enid,OK,73701
35950,301 W Main St Ste B,"Albertville, AL 35950",Other,5000,Studio,0.5+,6111.0,Albertville,AL,35950
35950,306 E McCord Ave,"Albertville, AL 35950",House,3195,6,3,2928.0,Albertville,AL,35950
79108,10505 Broadway Dr,"Amarillo, TX 79108",Other,850,2,2,,Amarillo,TX,79108
79108,,,Other,1200,2,1.5,,,,
79108,8403 N Highway 287,"Amarillo, TX 79108",Other,965,3,2,,Amarillo,TX,79108
79108,,,House,2500,4,3.5,2902.0,,,
79108,420 Mesquite Ave,"Amarillo, TX 79108",House,1495,3,2,1369.0,Amarillo,TX,79108
79108,1506 E Central St,"Amarillo, TX 79108",House,1500,2,2,1152.0,Amarillo,TX,79108
79108,4611 Dumas Dr,"Amarillo, TX 79108",Other,845,2,1,,Amarillo,TX,79108
44001,36 Westwoods,"Amherst, OH 44001",Apartment,1099,2,1,,Amherst,OH,44001
44001,36 Westwoods,"Amherst, OH 44001",Apartment,1565,4,1,,Amherst,OH,44001
44001,7055 Quarry Rd,"Amherst, OH 44001",Apartment,830,1,1,560.0,Amherst,OH,44001
44001,7055 Quarry Rd,"Amherst, OH 44001",Apartment,1499,4,2,1344.0,Amherst,OH,44001
72764,1701 S West End St,"Springdale, AR 72764",Apartment,825,1,1,600.0,Springdale,AR,72764
72764,1701 S West End St,"Springdale, AR 72764",Apartment,875,1,1,600.0,Springdale,AR,72764
72764,1517 Electric Ave,"Springdale, AR 72764",Apartment,694,Studio,1,540.0,Springdale,AR,72764
72764,1517 Electric Ave,"Springdale, AR 72764",Apartment,1360,2,2,960.0,Springdale,AR,72764
72764,5325 N Oak St,"Springdale, AR 72764",Apartment,985,1,1,673.0,Springdale,AR,72764
72764,5325 N Oak St,"Springdale, AR 72764",Apartment,1330,3,2,1085.0,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 7,"Springdale, AR 72764",House,750,2,1,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 25,"Springdale, AR 72764",House,895,2,1,,Springdale,AR,72764
72764,3324 S Old Missouri Rd,"Springdale, AR 72764",Apartment,1409,1,1,726.0,Springdale,AR,72764
72764,514 Butterfield Coach Rd,"Springdale, AR 72764",Apartment,936,1,1,825.0,Springdale,AR,72764
72764,514 Butterfield Coach Rd,"Springdale, AR 72764",Apartment,1290,2,2,1025.0,Springdale,AR,72764
72764,3702-B Locksley St,"Springdale, AR 72764",Apartment,1500,3,2,1477.0,Springdale,AR,72764
72764,3702-B Locksley St,"Springdale, AR 72764",Apartment,1550,3,2,1477.0,Springdale,AR,72764
72764,1406 Oriole St,"Springdale, AR 72764",Apartment,1054,2,1,800.0,Springdale,AR,72764
72764,1406 Oriole St,"Springdale, AR 72764",Apartment,1164,3,2,1152.0,Springdale,AR,72764
72764,726 E Emma Ave,"Springdale, AR 72764",Apartment,1145,1,1,554.0,Springdale,AR,72764
72764,726 E Emma Ave,"Springdale, AR 72764",Apartment,1525,2,2,884.0,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 6,"Springdale, AR 72764",House,895,2,1,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 32,"Springdale, AR 72764",House,895,2,1,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 5,"Springdale, AR 72764",House,895,2,1,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 35,"Springdale, AR 72764",House,1000,2,1,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 39,"Springdale, AR 72764",House,1000,2,1,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 21,"Springdale, AR 72764",House,1000,2,1,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 30,"Springdale, AR 72764",House,1350,3,2,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 29,"Springdale, AR 72764",House,1375,3,2,,Springdale,AR,72764
72764,3810 S Thompson Ave Unit 14,"Springdale, AR 72764",House,1400,3,2,,Springdale,AR,72764
72764,2785 Ruth Ave Unit B,"Springdale, AR 72764",House,1195,2,2,1056.0,Springdale,AR,72764
72764,711 Mountain View Ave,"Springdale, AR 72764",House,1350,3,2,1091.0,Springdale,AR,72764
72764,20466 Sonora Rd,"Springdale, AR 72764",House,1895,3,3,2406.0,Springdale,AR,72764
72764,2275 E Emma Ave,"Springdale, AR 72764",House,1695,3,2,1750.0,Springdale,AR,72764
72764,3551 Butterfly Ave,"Springdale, AR 72764",House,2800,4,3,2252.0,Springdale,AR,72764
72764,1232 Wilson St Unit B,"Springdale, AR 72764",Townhome,1195,2,1.5,1172.0,Springdale,AR,72764
72764,315 Texas Ln Apt 101,"Springdale, AR 72764",Condo,865,2,1,676.0,Springdale,AR,72764
72764,316 Erin Pl Apt 202,"Springdale, AR 72764",Condo,1100,2,1,974.0,Springdale,AR,72764
72764,316 Erin Pl Apt 102,"Springdale, AR 72764",Condo,1100,2,1,974.0,Springdale,AR,72764
72764,3839 E Embry Dr,"Fayetteville, AR 72764",House,2200,3,2,1839.0,Fayetteville,AR,72764
72764,315 Texas Ln Apt 206,"Springdale, AR 72764",Condo,1249,3,2,1280.0,Springdale,AR,72764
72764,1414 S Powell St Apt 202,"Springdale, AR 72764",Condo,695,1,1,400.0,Springdale,AR,72764
72764,1414 S Powell St Apt 102,"Springdale, AR 72764",Condo,695,1,1,400.0,Springdale,AR,72764
72764,1706 S Powell St Apt 203,"Springdale, AR 72764",Condo,695,1,1,400.0,Springdale,AR,72764
72764,1160 Dove Loop Unit B,"Springdale, AR 72764",Other,1050,3,2,1300.0,Springdale,AR,72764
72764,884 Palisades Ave,"Springdale, AR 72764",House,2145,4,2,1982.0,Springdale,AR,72764
72764,1600 Juniper Cir Apt B,"Springdale, AR 72764",Apartment,850,2,1,900.0,Springdale,AR,72764
72764,3444 Acorn Falls Ln,"Springdale, AR 72764",House,1495,3,2,1700.0,Springdale,AR,72764
72764,1006 Walnut Ave Unit 101,"Springdale, AR 72764",House,795,2,1,744.0,Springdale,AR,72764
72764,3568 Bastille St,"Springdale, AR 72764",House,1950,3,2.5,1980.0,Springdale,AR,72764
72764,420 Park St Apt 201,"Springdale, AR 72764",House,625,1,1,400.0,Springdale,AR,72764
72764,703 W Grove Ave,"Springdale, AR 72764",House,1500,3,1,1100.0,Springdale,AR,72764
72764,700 Virginia St Apt 101,"Springdale, AR 72764",Other,795,2,1,738.0,Springdale,AR,72764
72764,315 Texas Ln Apt 206,"Springdale, AR 72764",Condo,1249,3,2,1280.0,Springdale,AR,72764
72764,1414 S Powell St Apt 202,"Springdale, AR 72764",Condo,695,1,1,400.0,Springdale,AR,72764
72764,1414 S Powell St Apt 102,"Springdale, AR 72764",Condo,695,1,1,400.0,Springdale,AR,72764
72764,1706 S Powell St Apt 203,"Springdale, AR 72764",Condo,695,1,1,400.0,Springdale,AR,72764
72764,1160 Dove Loop Unit B,"Springdale, AR 72764",Other,1050,3,2,1300.0,Springdale,AR,72764
72764,884 Palisades Ave,"Springdale, AR 72764",House,2145,4,2,1982.0,Springdale,AR,72764
72764,1600 Juniper Cir Apt B,"Springdale, AR 72764",Apartment,850,2,1,900.0,Springdale,AR,72764
72764,3444 Acorn Falls Ln,"Springdale, AR 72764",House,1495,3,2,1700.0,Springdale,AR,72764
72764,1006 Walnut Ave Unit 101,"Springdale, AR 72764",House,795,2,1,744.0,Springdale,AR,72764
72764,3568 Bastille St,"Springdale, AR 72764",House,1950,3,2.5,1980.0,Springdale,AR,72764
72764,420 Park St Apt 201,"Springdale, AR 72764",House,625,1,1,400.0,Springdale,AR,72764
72764,703 W Grove Ave,"Springdale, AR 72764",House,1500,3,1,1100.0,Springdale,AR,72764
72764,700 Virginia St Apt 101,"Springdale, AR 72764",Other,795,2,1,738.0,Springdale,AR,72764
72764,2586 Adrian Ave,"Springdale, AR 72764",Other,1200,2,1,1080.0,Springdale,AR,72764
72764,2006 Ashlee Dr Unit A,"Springdale, AR 72764",Other,1300,3,2,1460.0,Springdale,AR,72764
72764,1299 Electric Ave,"Springdale, AR 72764",Apartment,692,Studio,1,540.0,Springdale,AR,72764
72764,1299 Electric Ave,"Springdale, AR 72764",Apartment,1374,2,2,960.0,Springdale,AR,72764
72764,4207 Cherokee Cv,"Springdale, AR 72764",House,1600,3,2,1592.0,Springdale,AR,72764
72764,2321 Orchard St,"Springdale, AR 72764",Apartment,845,2,2,745.0,Springdale,AR,72764
72764,1249 Ashport St,"Springdale, AR 72764",House,1600,3,2,1580.0,Springdale,AR,72764
72764,608 Black Oak Ave,"Springdale, AR 72764",Apartment,775,1,1,600.0,Springdale,AR,72764
72764,608 Black Oak Ave,"Springdale, AR 72764",Apartment,975,2,2.5,1075.0,Springdale,AR,72764
72616,204 Ember Dr Apt 1,"Green Forest, AR 72638",Apartment,920,1,1,,Green Forest,AR,72638
72616,208 Ember Dr Apt 2,"Green Forest, AR 72638",Apartment,650,1,1,,Green Forest,AR,72638
35031,40 Ratliff St Apt 7,"Blountsville, AL 35031",Condo,700,1,1,725.0,Blountsville,AL,35031
42101,2244 Hickory St,"Bowling Green, KY 42101",Apartment,1050,2,2,957.0,Bowling Green,KY,42101
42101,2244 Hickory St,"Bowling Green, KY 42101",Apartment,1100,2,2,957.0,Bowling Green,KY,42101
42101,1117 Greenwood Aly,"Bowling Green, KY 42101",Apartment,1350,3,2,1100.0,Bowling Green,KY,42101
42101,1614 Parkside Dr,"Bowling Green, KY 42101",House,775,2,1,720.0,Bowling Green,KY,42101
42101,213 Walnut Creek Ct Unit 213,"Bowling Green, KY 42101",Townhome,1200,2,2,1100.0,Bowling Green,KY,42101
42101,261 Walnut Creek Ct Unit 261,"Bowling Green, KY 42101",Townhome,1200,2,2,1100.0,Bowling Green,KY,42101
42101,112 Walnut Creek Ct Unit 112,"Bowling Green, KY 42101",Townhome,1200,2,2,1100.0,Bowling Green,KY,42101
42101,218 Kelly Rd Unit K74,"Bowling Green, KY 42101",Apartment,745,1,1,630.0,Bowling Green,KY,42101
42101,4485 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1300.0,Bowling Green,KY,42101
42101,324 Walnut Creek Ct Unit 324,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1300.0,Bowling Green,KY,42101
42101,4497 Wal Valley Way Unit A,"Bowling Green, KY 42101",Townhome,1550,3,2.5,1350.0,Bowling Green,KY,42101
42101,7136 Weatherstone Blvd,"Bowling Green, KY 42101",House,1795,3,2,1334.0,Bowling Green,KY,42101
42101,6525 Fortuna Ct,"Bowling Green, KY 42101",Other,1900,3,2,1319.0,Bowling Green,KY,42101
42101,1519 Calgary Way,"Bowling Green, KY 42101",House,1750,3,2,1443.0,Bowling Green,KY,42101
42101,377 Cedar Run St,"Bowling Green, KY 42101",House,1850,3,2,1375.0,Bowling Green,KY,42101
42101,1180 Fair St,"Bowling Green, KY 42101",House,1350,5,2,1500.0,Bowling Green,KY,42101
42101,506 Labrador Dr,"Plum Springs, KY 42101",House,1650,3,2,1410.0,Plum Springs,KY,42101
42101,324 Gatewood Ave,"Bowling Green, KY 42101",House,1800,4,2,1585.0,Bowling Green,KY,42101
42101,134 Westwood Cir Apt C,"Bowling Green, KY 42101",Condo/Townhome,950,2,2,1100.0,Bowling Green,KY,42101
42101,132 Pebble Ct,"Bowling Green, KY 42101",House,850,2,1.5,,Bowling Green,KY,42101
42101,114 Whispering Hills Blvd,"Bowling Green, KY 42101",House,1850,3,2,1588.0,Bowling Green,KY,42101
42101,5487 Hackberry Way,"Bowling Green, KY 42101",House,1900,3,2,1411.0,Bowling Green,KY,42101
42101,6541 Fortuna Ct,"Bowling Green, KY 42101",Other,1595,3,2,1319.0,Bowling Green,KY,42101
42101,396 Deluth Dr,"Bowling Green, KY 42101",House,1600,3,2,,Bowling Green,KY,42101
42101,6545 Fortuna Ct,"Bowling Green, KY 42101",Other,1595,3,2,1319.0,Bowling Green,KY,42101
42101,125 Bonaire Ave,"Bowling Green, KY 42101",Apartment,900,2,2,1050.0,Bowling Green,KY,42101
