TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
31730,"1432 County Line Rd, Camilla, GA 31730","Camilla, GA 31730",For Sale,49500,3,1,1163
31730,"53 E Morgan St, Camilla, GA 31730","Camilla, GA 31730",For Sale,53900,3,2,1742
31730,"555 Moultrie Rd, Camilla, GA 31730","Camilla, GA 31730",For Sale,249900,3,2.5,2256
31730,"211 S Scott St, Camilla, GA 31730","Camilla, GA 31730",Pending,69900,3,2,1458
31730,"2989 Old Pelham Rd, Camilla, GA 31730","Camilla, GA 31730",For Sale,495000,3,2,2673
31730,"261 S Boulevard St, Camilla, GA 31730","Camilla, GA 31730",For Sale,370000,5,4,3096
31730,"N Macarthur Dr Lot 10, Camilla, GA 31730","Camilla, GA 31730",For Sale,10000,,,
31730,"N Macarthur Dr Lot 1, Camilla, GA 31730","Camilla, GA 31730",For Sale,10000,,,
31730,"N Macarthur Dr Lot 9, Camilla, GA 31730","Camilla, GA 31730",For Sale,10000,,,
31730,"N Macarthur Dr Lot 2, Camilla, GA 31730","Camilla, GA 31730",For Sale,10000,,,
31730,"49 E Thompson St, Camilla, GA 31730","Camilla, GA 31730",For Sale,79900,3,2,1600
31730,"6040 Evergreen Rd, Camilla, GA 31730","Camilla, GA 31730",Pending,399000,4,3,2806
31730,"196 Macdonald St, Camilla, GA 31730","Camilla, GA 31730",For Sale,69900,3,2,1504
31730,"361 Laurel Ln, Camilla, GA 31730","Camilla, GA 31730",For Sale,89900,4,1,1442
31730,"2850 Highway 37, Camilla, GA 31730","Camilla, GA 31730",For Sale,385000,4,2,2702
31730,"2780 Ga Sr 37, Camilla, GA 31730","Camilla, GA 31730",For Sale,950000,5,4.5,5200
31730,"2192 Colonial Rd, Camilla, GA 31730","Camilla, GA 31730",Pending,169900,2,2,1534
31730,"375 E Camellia Dr, Camilla, GA 31730","Camilla, GA 31730",For Sale,119000,3,2,1537
31730,"4003 Stali Way, Camilla, GA 31730","Camilla, GA 31730",For Sale,220000,,,
31730,"64 Scott St S, Camilla, GA 31730","Camilla, GA 31730",For Sale,69900,3,1,1598
31730,"4558 Friendship Rd, Camilla, GA 31730","Camilla, GA 31730",For Sale,695900,3,3,2100
31730,"110 Dogwood St, Camilla, GA 31730","Camilla, GA 31730",Pending,165000,3,2.5,1680
31730,"199 Macdonald St, Camilla, GA 31730","Camilla, GA 31730",For Sale,54900,3,1,1039
31730,"64 Scott St, Camilla, GA 31730","Camilla, GA 31730",For Sale,69900,3,1,1598
31730,"367 County Line Rd, Camilla, GA 31730","Camilla, GA 31730",Pending,279900,3,2,2289
31730,"Plantation Ln, Camilla, GA 31730","Camilla, GA 31730",For Sale,54900,,,
31730,"Branchville/Research, Camilla, GA 31730","Camilla, GA 31730",Pending,49900,,,
31730,"Schley Rd, Camilla, GA 31730","Camilla, GA 31730",For Sale,125000,,,
31730,"7 Williford Dr, Camilla, GA 31730","Camilla, GA 31730",For Sale,10000,,,
31730,"374 S Harney St, Camilla, GA 31730","Camilla, GA 31730",Pending,279900,6,3,2873
76117,"5813 Midway Rd, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,245000,3,1,1106
76117,"5416 Nadine Dr, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,268612,3,2,1456
76117,"4609 Nadine Dr, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,235000,3,2,1245
76117,"4716 Haltom Rd, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,288990,2,2,1067
76117,"3629 Cheryl St, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,230000,3,1,1152
76117,"4711 Kindred St, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,293990,2,2,1167
76117,"3204 Edith Ln, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,259000,3,1,1456
76117,"5240 Palmer Dr, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,299900,4,2.5,2139
76117,"513 Fieldstone Ln, Haslet, TX 76117","Haslet, TX 76117",For Sale,589000,4,2.5,2619
76117,"3000 Edith Ln, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,250000,3,1.5,1750
76117,"4720 Bernice St, Haltom City, TX 76117","Haltom City, TX 76117",Pending,179950,2,1,1160
76117,"5102 Springlake Pkwy, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,319000,3,2.5,1438
76117,"4625 Starlight Dr, Haltom City, TX 76117","Haltom City, TX 76117",Contingent,240000,3,2,1888
76117,"3604 Larry St, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,299990,4,1.5,2095
76117,"5940 Tourist Dr, North Richland Hills, TX 76117","North Richland Hills, TX 76117",Contingent,274900,3,2,1741
76117,"3313 Earle Dr, Haltom City, TX 76117","Haltom City, TX 76117",Pending,220000,3,2,1259
76117,"3405 Edith Ln, Haltom City, TX 76117","Haltom City, TX 76117",Pending,150000,3,1.5,1104
76117,"3925 Janrue Ct, Haltom City, TX 76117","Haltom City, TX 76117",Pending,250000,3,1.5,1196
76117,"5805 Bertha Ln, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,195000,2,1,720
76117,"4705 Kindred St, Haltom City, TX 76117","Haltom City, TX 76117",Contingent,293990,2,2,1161
76117,"6208 Little Fossil Rd, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,165000,,,
76117,"4213 Haltom Rd, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,275000,3,2,1218
76117,"3512 Eastridge Dr, Haltom City, TX 76117","Haltom City, TX 76117",Pending,239000,3,2,1204
76117,"4544 Dee Ln, Haltom City, TX 76117","Haltom City, TX 76117",Contingent,244000,4,2,1916
76117,"3329 Rita Ln, Haltom City, TX 76117","Haltom City, TX 76117",Pending,179999,2,1,728
76117,"4125 Fox Dr, Fort Worth, TX 76117","Fort Worth, TX 76117",For Sale,225000,4,2,1411
76117,"5036 Nadine Dr, Haltom City, TX 76117","Haltom City, TX 76117",Pending,235000,3,1,1284
76117,"3013 Edith Ln, Haltom City, TX 76117","Haltom City, TX 76117",Pending,244000,3,1.5,1288
76117,"4121 Maryview Ct, Haltom City, TX 76117","Haltom City, TX 76117",Contingent,299000,3,2,2846
76117,"3709 Matson St, North Richland Hills, TX 76117","North Richland Hills, TX 76117",Pending,280000,3,2,1319
76117,"2300 Fincher Rd, Haltom City, TX 76117","Haltom City, TX 76117",Pending,226000,2,1,1024
76117,"3304 Aurora St, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,265000,3,1,1505
76117,"5021 Jerri Ln, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,282500,4,2,1451
76117,"4707 Kindred St, Haltom City, TX 76117","Haltom City, TX 76117",Contingent,288990,2,2,1067
76117,"5021 Nadine Dr, Haltom City, TX 76117","Haltom City, TX 76117",Pending,222000,3,1.5,1340
76117,"5316 Madella St, Haltom City, TX 76117","Haltom City, TX 76117",Pending,294500,3,2,1565
76117,"5111 Zelma St, Haltom City, TX 76117","Haltom City, TX 76117",Contingent,260000,4,2.5,1800
76117,"Dartmouth Plan, Heritage Village CommunityHaltom City, TX","Haltom City, TX",For Sale,293990,2,2,1167
76117,"4412 Wayne Ct N, Haltom City, TX 76117","Haltom City, TX 76117",For Sale,245500,3,1,1360
