Address1,Address2,Availability,Price,Beds,Baths,Sqft
"275 Lookout Pines Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,785000,2,3,1520
"6265 Allison Rd, Cumming, GA 30040","Cumming, GA 30040",Pending,700000,5,4,2564
"Nicollet Plan, Greenfield CommunitySeguin, TX","Seguin, TX",For Sale,From225990,2,1,1044
"234 Centerbury Ct, Springdale, OH 45246","Springdale, OH 45246",Pending,195000,2,2.5+,1381
"4147 N Kedvale Ave Apt 1B, Chicago, IL 60641","Chicago, IL 60641",Foreclosure,135000,2,1,
"47 Walker Lndg, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,130000,,,
"Polo Plan, Greenfield CommunitySeguin, TX","Seguin, TX",For Sale,From270990,3,2,1530
"3332 Lafayette St, Saint Joseph, MO 64507","Saint Joseph, MO 64507",Pending,120000,2,1,832
"8099 Richardsville Rd, Bowling Green, KY 42101","Bowling Green, KY 42101",For Sale,254000,4,2,1560
"204 Porter St SW, Rome, GA 30161","Rome, GA 30161",Pending,125000,3,1,
"284 E Compass Way, Easley, SC 29640","Easley, SC 29640",For Sale,234000,3,2.5,
"3817 W Gardenia Dr, Fayetteville, AR 72704","Fayetteville, AR 72704",For Sale,251000,3,2,1338
"146 Woodwedge Way, Sanford, NC 27332","Sanford, NC 27332",For Sale,36636,,,
"1214 11th Sq, Auburn, NE 68305","Auburn, NE 68305",Pending,135000,2,2,812
"136 Deep Woods Dr, Seguin, TX 78155","Seguin, TX 78155",For Sale,145000,,,
"312 Crenshaw St, Easley, SC 29640","Easley, SC 29640",For Sale,350000,3,2,
"4857 W Byron St Unit 302, Chicago, IL 60641","Chicago, IL 60641",For Sale,199900,2,1,
"811 Polk Road 21, Cove, AR 71937","Cove, AR 71937",For Sale,585000,2,1,864
"200 S 5th St, Easley, SC 29640","Easley, SC 29640",For Sale,340000,5,3.5+,
"1725 S 33rd St, Saint Joseph, MO 64507","Saint Joseph, MO 64507",Pending,145000,3,2,784
"911 Whitcher Ave, Sioux City, IA 51109","Sioux City, IA 51109",For Sale,87000,2,1,840
"7982 Matterhorn Canyon Rd Lot 47, Caseyville, IL 62232","Caseyville, IL 62232",For Sale,50000,,,
"6269 Parker Blvd, North Richland Hills, TX 76180","North Richland Hills, TX 76180",Pending,426316,2,2.5,2031
"205 W 14th Ave, Bowling Green, KY 42101","Bowling Green, KY 42101",For Sale,99900,3,1,1107
"924 Armadillo Dr, Seguin, TX 78155","Seguin, TX 78155",For Sale,285000,4,2,1832
"2586W Plan, The Village of Mill Creek 60' CommunitySeguin, TX","Seguin, TX",For Sale,From484900,4,3,2586
"6458 SW State Route 138, Slaughters, KY 42456","Slaughters, KY 42456",For Sale,130000,3,2,1120
"4731 W Monaco Bnd, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,268833,3,2,1358
"24 W Lawrence Ave, Zeeland, MI 49464","Zeeland, MI 49464",For Sale,370000,4,1.5,1908
"1448-1456 Trade Centre Dr Lot A, Traverse City, MI 49684","Traverse City, MI 49684",For Sale,225000,,,
"283 E Compass Way, Easley, SC 29640","Easley, SC 29640",For Sale,234000,3,2.5,1634
"424 Cordova Ter, Seguin, TX 78155","Seguin, TX 78155",For Sale,300999,3,2,1675
"107 4th St, Vienna, GA 31092","Vienna, GA 31092",Contingent,169900,3,2,2249
"8689 Quincy St, Zeeland, MI 49464","Zeeland, MI 49464",Pending,650000,5,3.5,3548
"280 E Compass Way, Easley, SC 29640","Easley, SC 29640",For Sale,238000,3,2.5,1729
"3118W Plan, The Village of Mill Creek 60' CommunitySeguin, TX","Seguin, TX",For Sale,From556900,4,3,3118
"6165 Bennett Pkwy, Cumming, GA 30040","Cumming, GA 30040",For Sale,727932,5,4,3295
"Tract 4 E Zion Rd, Fayetteville, AR 72764","Fayetteville, AR 72764",For Sale,473000,,,
"2532 Windle Ln, Seguin, TX 78155","Seguin, TX 78155",For Sale,299990,4,2.5,
"422 Charles St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,70000,2,1,1808
"9128 Bowie Rdg, Seguin, TX 78155","Seguin, TX 78155",Pending,331999,4,2.5,1950
"2900 W 18th St Lot 3, Emporia, KS 66801","Emporia, KS 66801",For Sale,275000,,,
"Moss Creek Dr Lot 57, Rome, GA 30161","Rome, GA 30161",For Sale,24900,,,
"607 N 10th St, Rogers, AR 72756","Rogers, AR 72756",For Sale,259000,1,1,926
"Tract I Pine Ranch Rd, Seguin, TX 78155","Seguin, TX 78155",For Sale,199999,,,
"2160 W Moore Ln, Fayetteville, AR 72704","Fayetteville, AR 72704",Pending,324900,3,2.5,1960
"1806 Independence Ave, Lexington, NE 68850","Lexington, NE 68850",For Sale,297500,3,2,1648
"2940 County Road 616, Hanceville, AL 35077","Hanceville, AL 35077",For Sale,62990,,,
"7735 W Timber Creek Dr, Alexandria, KY 41001","Alexandria, KY 41001",For Sale,399900,4,2.5+,2558
"175 McCoy Rd, Albertville, AL 35950","Albertville, AL 35950",Pending,329900,5,2.5,2454
"8547 Old Bill Evans Rd, Rogers, AR 72756","Rogers, AR 72756",For Sale,1650000,,,
"Tbd Ravens Roost Dr, Rogers, AR 72756","Rogers, AR 72756",For Sale,224999,,,
"3845 Branch Bluff Ln, Cumming, GA 30040","Cumming, GA 30040",Contingent,499900,3,2.5,2188
"789 Redwood Rd, Broken Bow, OK 74728","Broken Bow, OK 74728",Pending,35000,,,
"4028 Singletree Dr, Henderson, KY 42420","Henderson, KY 42420",For Sale,280000,3,2,1848
"87 Anderson Pines Trl, Broken Bow, OK 74728","Broken Bow, OK 74728",For Sale,160515,,,
"327 E Harvey St, Sedalia, MO 65301","Sedalia, MO 65301",For Sale,10000,,,
"1303 Secrest Commons Dr, Monroe, NC 28112","Monroe, NC 28112",For Sale,410090,4,3.5,2546
"3809 Donald Dr, Seguin, TX 78155","Seguin, TX 78155",Pending,394800,4,2.5,2127
"621 7th St, Adams, NE 68301","Adams, NE 68301",Pending,167500,2,1,1360
"2991 Rocky Fork Church Rd, Sanford, NC 27332","Sanford, NC 27332",Pending,229000,3,1.5,1735
"111 Harding Hill Dr, Wilkesboro, NC 28697","Wilkesboro, NC 28697",For Sale,415000,3,2.5,
"7047 Rivermere Ln, Glen Allen, VA 23059","Glen Allen, VA 23059",Pending,662800,5,3.5,3225
"Elm St, Dakota City, NE 68731","Dakota City, NE 68731",For Sale,23900,,,
"3039 Fletcher Aly, Glen Allen, VA 23059","Glen Allen, VA 23059",Pending,479550,3,2.5,2418
"5378 Clear Creek Blvd Lot 13, Fayetteville, AR 72704","Fayetteville, AR 72704",For Sale,300000,,,
"118 DE Haven St, Houston, TX 77029","Houston, TX 77029",For Sale,224990,3,2,1028
"1581 Motherwell Dr, Seguin, TX 78155","Seguin, TX 78155",For Sale,323500,5,3.5,2319
"206 White Ave, Green Forest, AR 72638","Green Forest, AR 72638",For Sale,159900,3,2,1080
"Fishing Creek Arbor Rd Lot 2, Wilkesboro, NC 28697","Wilkesboro, NC 28697",For Sale,40000,,,
"595 Vance Ln, Bowling Green, KY 42101","Bowling Green, KY 42101",For Sale,255900,3,2,1504
"26704 Prairie Rd, Sedalia, MO 65301","Sedalia, MO 65301",Pending,360000,4,3,3268
"111 E 8th St, Clarkson, NE 68629","Clarkson, NE 68629",For Sale,179900,2,1,1190
"5809 Marcross Ct, Glen Allen, VA 23059","Glen Allen, VA 23059",For Sale,979000,6,3.5,4100
"126 Ivy Park Cir, Albertville, AL 35950","Albertville, AL 35950",For Sale,21900,,,
"3 Indian Lake Dr, Rainbow City, AL 35906","Rainbow City, AL 35906",For Sale,17500,,,
"3531 N Kostner Ave, Chicago, IL 60641","Chicago, IL 60641",For Sale,414500,3,3,2124
"2529 Highway 41A S, Shelbyville, TN 37160","Shelbyville, TN 37160",For Sale,999500,4,3.5,10373
"2325 16th St, Vernon, TX 76384","Vernon, TX 76384",For Sale,275000,4,3,3142
"136 Ivy Park Cir, Albertville, AL 35950","Albertville, AL 35950",For Sale,21900,,,
"13969 S Winding Trl Lot 13, Traverse City, MI 49684","Traverse City, MI 49684",For Sale,150000,,,
"4885 Highway 29 N, Hope, AR 71801","Hope, AR 71801",For Sale,1600000,5,4,3322
"Eagle Lake Shore Rd Lot 57, Vicksburg, MS 39183","Vicksburg, MS 39183",Pending,37000,,,
"1817 E Washington Ave, North Little Rock, AR 72114","North Little Rock, AR 72114",For Sale,34000,,,
"2941 Curry Rd, Seguin, TX 78155","Seguin, TX 78155",For Sale,1149000,4,2,1260
"Cottonwood Plan, Bel Air Village CommunitySherman, TX","Sherman, TX",For Sale,From340990,3,2,1955
"141 Rivers Edge Dr Ste 301, Traverse City, MI 49684","Traverse City, MI 49684",Contingent,399999,2,1.5,1211
"3652 Garner Dr, Zeeland, MI 49464","Zeeland, MI 49464",For Sale,80000,,,
,,For Sale,154000,,,
"619 Hickory Wood Ct, Henderson, KY 42420","Henderson, KY 42420",For Sale,349900,3,2,1634
"6105 Kendrick Mews, North Richland Hills, TX 76180","North Richland Hills, TX 76180",For Sale,533061,3,2.5,1916
"Sh 136, Amarillo, TX 79108","Amarillo, TX 79108",For Sale,54998,,,
"4624 Navajo St Apt 9, Council Bluffs, IA 51501","Council Bluffs, IA 51501",Pending,439900,3,3,1968
"1027 St Clair, Jacksonville, FL 32254","Jacksonville, FL 32254",Pending,299000,5,3,2200
"2875 N Eastern St, Amarillo, TX 79108","Amarillo, TX 79108",Pending,150000,,,
"1303 Center St, Hope, AR 71801","Hope, AR 71801",For Sale,89500,2,1,1056
"1830 Pleasant Valley Pl, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,225000,4,2,1576
"7140 Oxbo Cir, Cumming, GA 30040","Cumming, GA 30040",Pending,875000,4,3.5,3184
"5605 Copper Creek Pass, Cumming, GA 30040","Cumming, GA 30040",Pending,1175000,6,5.5,6430
"14356 Ashland Rd, Glen Allen, VA 23059","Glen Allen, VA 23059",For Sale,200000,4,2,1411
"Oakridge Trl, Eufaula, AL 36027","Eufaula, AL 36027",For Sale,125000,,,
"408 Friendly Ln, Denison, IA 51442","Denison, IA 51442",Contingent,92500,2,2,792
"208 Venice Ave, Flower Mound, TX 75028","Flower Mound, TX 75028",For Sale,1660,3,2.5,1660
"1436 S 39th St, Kansas City, KS 66106","Kansas City, KS 66106",Contingent,129900,3,2,1104
