Address1,Address2,Style,Price,Beds,Baths,Sqft
2605 S Roberts St Unit 2605SROBER,"Amarillo, TX 79103",Apartment,1563,4,2,1202
4179 W Belmont Ave,"Chicago, IL 60641",Apartment,3400,3,2,1425
5959 Watership Ln,"Dallas, TX 75237",Apartment,1102,1,1,542
7272 Marvin D Love Fwy,"Dallas, TX 75237",Apartment,1300,3,2,1116
350 Bradley Park Ln,"Cumming, GA 30040",Apartment,2321,3,2,1508
316 Erin Pl,"Springdale, AR 72764",Condo,1100,2,1,974
4920 W Irving Park Rd Unit 2,"Chicago, IL 60641",House,1000,1,1,600
1481 Fawnvista Ln,"Cincinnati, OH 45246",House,1990,3,2,1345
1773 Dorgan St,"Jackson, MS 39204",House,925,3,2,1212
5147 W Cullom Ave Unit 2,"Chicago, IL 60641",Apartment,1650,2,1,1300
2230 S 6th St Unit 1,"Council Bluffs, IA 51501",Apartment,1450,3,2,1372
4254 N Milwaukee Ave Unit 2,"Chicago, IL 60641",House,2300,3,1,1100
3035 N Kilpatrick Ave Unit 1,"Chicago, IL 60641",House,2250,3,2,
3324 S Old Missouri Rd,"Springdale, AR 72764",Apartment,1409,3-Jan,2-Jan,726 - 1137
5160 W Montrose Ave,"Chicago, IL 60641",Apartment,1275,1,1,750
4181 W Belmont Ave Unit 201,"Chicago, IL 60641",Condo,3600,3,2,
5257 W Nelson Ave,"Chicago, IL 60641",Apartment,1150,1,1,
811 N Pleasant St,"Springdale, AR 72764",Apartment,900,1,1,560
1488 Fawnvista Ln,"Cincinnati, OH 45246",House,2270,4,1.5,1688
4200 4200-08 N Milwaukee Ave/4948-52 N Berteau,"Chicago, IL 60641",Apartment,1275,1,1,
6068 Louisville Rd Apt 4,"Bowling Green, KY 42101",Apartment,825,1,1,765
1319 College St,"Bowling Green, KY 42101",House,2800,6,2,
2755 Alton Ave,"Springdale, AR 72764",Apartment,1250,2,1,960
4200 W Belmont Ave,"Chicago, IL 60641",Apartment,2700,Studio,1,1395
4223 S Williams St,"Amarillo, TX 79118",Apartment,1575,3,2,1507
4031 W Melrose St Apt 3N,"Chicago, IL 60641",Apartment,1175,1,1,
1621 Avenue P Unit 1,"Council Bluffs, IA 51501",Apartment,1250,3,1,
705 S Grant St,"Amarillo, TX 79101",Apartment,2895,3,1,3022
