TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
73701,"526 E Cottonwood Ln, Enid, OK 73701","Enid, OK 73701",For Sale,290000,3,2,1582
73701,"111 S 14th St, Enid, OK 73701","Enid, OK 73701",For Sale,129900,3,2.5,1508
73701,"701 W Nagel Ave, Enid, OK 73701","Enid, OK 73701",For Sale,84900,3,1,1040
73701,"425 N Candlewood St, Enid, OK 73701","Enid, OK 73701",For Sale,125000,3,2,1824
73701,"2822 E Paradise Ln, Enid, OK 73701","Enid, OK 73701",Pending,142000,2,2,2414
73701,"3202 Hillcrest Dr, Enid, OK 73701","Enid, OK 73701",For Sale,99900,2,1,931
73701,"514 N 19th St, Enid, OK 73701","Enid, OK 73701",For Sale,62000,3,1,1015
73701,"619 Kenwood Blvd, Enid, OK 73701","Enid, OK 73701",For Sale,94900,4,2,1212
73701,"2501 E Cedar Ave, Enid, OK 73701","Enid, OK 73701",For Sale,100000,4,,
73701,"3216 Brooks Dr, Enid, OK 73701","Enid, OK 73701",For Sale,119000,3,1.5,950
73701,"451 N 19th St, Enid, OK 73701","Enid, OK 73701",For Sale,152500,3,2.5,1815
73701,"1508 Katie Ln, Enid, OK 73701","Enid, OK 73701",Pending,239900,4,2.5,2448
73701,"2024 E Elm Ave, Enid, OK 73701","Enid, OK 73701",For Sale,85000,5,3,2208
73701,"609 N 13th St, Enid, OK 73701","Enid, OK 73701",For Sale,16500,2,1,994
73701,"2102 E Elm Ave, Enid, OK 73701","Enid, OK 73701",For Sale,125000,3,1.5,1983
73701,"922 Harvest Dr, Enid, OK 73701","Enid, OK 73701",For Sale,147000,3,2,1419
73701,"615 Windmeer Ave, Enid, OK 73701","Enid, OK 73701",For Sale,284900,4,2.5,2307
73701,"527 Okarche, Enid, OK 73701","Enid, OK 73701",For Sale,389900,4,3.5,3039
73701,"3216 Dwelle Dr, Enid, OK 73701","Enid, OK 73701",Pending,137900,3,2,1192
73701,"802 Bunny Trl, Enid, OK 73701","Enid, OK 73701",For Sale,229900,3,2,1501
73701,"516 E State Ave, Enid, OK 73701","Enid, OK 73701",For Sale,55000,2,1,1008
73701,"206 E Skeleton Rd, Waukomis, OK 73701","Waukomis, OK 73701",For Sale,199900,2,2,
73701,"117 N Grand St, Enid, OK 73701","Enid, OK 73701",For Sale,895000,3,5.5,7500
73701,"572 N 10th St, Enid, OK 73701","Enid, OK 73701",For Sale,54000,2,1,1163
73701,"1323 E Maine Ave, Enid, OK 73701","Enid, OK 73701",For Sale,30000,2,1,696
73701,"2017 E Broadway Ave, Enid, OK 73701","Enid, OK 73701",For Sale,102000,8,3,2111
73701,"821 Bunny Trl, Enid, OK 73701","Enid, OK 73701",Pending,209900,3,2,1440
73701,"2009 E Ash Ave, Enid, OK 73701","Enid, OK 73701",For Sale,37500,2,1,696
73701,"2701 Wildoak Cir, Enid, OK 73701","Enid, OK 73701",Pending,89000,3,1,993
73701,"729 N 6th St, Enid, OK 73701","Enid, OK 73701",For Sale,56000,2,1,978
73701,"1705 E Birch Ave, Enid, OK 73701","Enid, OK 73701",For Sale,69000,2,1,720
73701,"421 Bryan Dr, Enid, OK 73701","Enid, OK 73701",Pending,529900,5,4.5,3585
73701,"111 and 111 1/2 W Locust, Enid, OK 73701","Enid, OK 73701",Pending,29900,,,
73701,"1606 E Randolph Ave, Enid, OK 73701","Enid, OK 73701",For Sale,88000,3,1,1201
73701,"1810 E Cherokee Ave, Enid, OK 73701","Enid, OK 73701",For Sale,49999,2,1,1048
73701,"9907 N 16th St, Enid, OK 73701","Enid, OK 73701",For Sale,300000,,,
73701,"2710 Wildoak Cir, Enid, OK 73701","Enid, OK 73701",Pending,84900,2,1,916
73701,"614 N 14th St, Enid, OK 73701","Enid, OK 73701",Pending,89999,3,1,1164
73701,"621 W Rush St, Enid, OK 73701","Enid, OK 73701",Pending,40000,,,
73701,"3030 Brooks Dr, Enid, OK 73701","Enid, OK 73701",Pending,140000,3,1.5,1612
73701,"1723 E Broadway Ave, Enid, OK 73701","Enid, OK 73701",Pending,159000,4,3,2816
73701,"813 W Nagel Ave, Enid, OK 73701","Enid, OK 73701",Pending,75000,2,1,1124
73701,"705 W Walnut Ave, Enid, OK 73701","Enid, OK 73701",Pending,89900,3,2,962
73701,"4500 E Chestnut, Enid, OK 73701","Enid, OK 73701",For Sale,55000,,,
73701,"422 W Cherry Ave, Enid, OK 73701","Enid, OK 73701",For Sale,59000,2,1,780
73701,"3104 E Market St, Enid, OK 73701","Enid, OK 73701",For Sale,400000,4,3,
73701,"2321 E Eucalyptus Ave, Enid, OK 73701","Enid, OK 73701",Pending,36500,3,1,1500
73701,"4801 Pocasset, Enid, OK 73701","Enid, OK 73701",Pending,298500,4,2,1971
73701,"3416 N 16th St, Enid, OK 73701","Enid, OK 73701",For Sale,454900,3,2.5,3849
73701,"520 N Monroe St, Enid, OK 73701","Enid, OK 73701",For Sale,38500,2,1,1214
73701,"301 Parker Dr, Enid, OK 73701","Enid, OK 73701",Pending,172500,3,2,1795
73701,"Tract 3 21 5 Acres Mol, Enid, OK 73701","Enid, OK 73701",For Sale,86000,,,
73701,"213 S 18th St, Enid, OK 73701","Enid, OK 73701",For Sale,89900,2,1,810
73701,"Tract 6 80 Acres Mol, Enid, OK 73701","Enid, OK 73701",For Sale,296000,,,
73701,"1613 E Cedar Ave, Enid, OK 73701","Enid, OK 73701",Pending,48000,2,1,1152
73701,"708 W Pine Ave, Enid, OK 73701","Enid, OK 73701",Pending,155000,4,2,1688
73701,"1602 S Adams St, Enid, OK 73701","Enid, OK 73701",Pending,139900,3,2,1740
73701,"3321 N 4th St, Enid, OK 73701","Enid, OK 73701",For Sale,300000,Studio,0.5,1280
73701,"1822 E Ash Ave, Enid, OK 73701","Enid, OK 73701",Pending,105000,4,1.5,1528
73701,"1126 N Washington St, Enid, OK 73701","Enid, OK 73701",Pending,129000,4,3,1835
73701,"1001 N Central St, Enid, OK 73701","Enid, OK 73701",Pending,48900,2,1,792
73701,"10425 Prairie Rose Ln, Enid, OK 73701","Enid, OK 73701",Pending,299900,3,2,1872
73701,"1817 E Birch Ave, Enid, OK 73701","Enid, OK 73701",Pending,20000,Studio,,
73701,"2138 E Cedar Ave, Enid, OK 73701","Enid, OK 73701",Pending,129900,4,2,1516
73701,"529 N 4th St, Enid, OK 73701","Enid, OK 73701",Pending,45000,2,1,750
73701,"1713 E Oklahoma Ave, Enid, OK 73701","Enid, OK 73701",Pending,37500,2,1,806
73701,"219 Redwood St, Enid, OK 73701","Enid, OK 73701",Pending,220000,3,2,1870
73701,"20 Acres Mol E Highway 412, Enid, OK 73701","Enid, OK 73701",Pending,78000,,,
73701,"1714 N Quincy St, Enid, OK 73701","Enid, OK 73701",Pending,124900,3,2,1410
42602,"Brian Neal Rd, Albany, KY 42602","Albany, KY 42602",For Sale,300000,,,
42602,"2013 Highway 127, Albany, KY 42602","Albany, KY 42602",For Sale,69000,3,2,
42602,"441 Woodrum Rd, Albany, KY 42602","Albany, KY 42602",For Sale,110000,4,,1148
42602,"321 Brown Jones Rd, Albany, KY 42602","Albany, KY 42602",For Sale,270000,3,1,
42602,"51 Soaring Eagle Rd, Albany, KY 42602","Albany, KY 42602",For Sale,239900,2,1,776
42602,"671 Travis Groce Rd, Albany, KY 42602","Albany, KY 42602",For Sale,144900,3,1,
42602,"782 Fairgrounds Rd, Albany, KY 42602","Albany, KY 42602",For Sale,215000,3,2,2040
42602,"Woodsdale Ests, Albany, KY 42602","Albany, KY 42602",For Sale,76500,,,
42602,"49 Griffin Trl, Albany, KY 42602","Albany, KY 42602",For Sale,39900,,,
42602,"7746 N Highway 127, Albany, KY 42602","Albany, KY 42602",Pending,244900,2,2,1280
42602,"5 Stone Subdivision Clf Lot 5C, Albany, KY 42602","Albany, KY 42602",For Sale,24900,,,
42602,"15 Eagle Point Dr Lot 15 and 16, Albany, KY 42602","Albany, KY 42602",For Sale,99000,,,
42602,"19 Eagle Point Dr Lot 19 and 19 1/2, Albany, KY 42602","Albany, KY 42602",For Sale,65000,,,
42602,"17 Eagle Point Dr Lot 17 and 18, Albany, KY 42602","Albany, KY 42602",For Sale,75000,,,
42602,"22 Eagle Point Dr Lot 22 and 23, Albany, KY 42602","Albany, KY 42602",For Sale,79000,,,
42602,"20 Eagle Point Dr Lot 20 and 21, Albany, KY 42602","Albany, KY 42602",For Sale,79000,,,
42602,"12 Eagle Point Dr Lots 12 & 14, Albany, KY 42602","Albany, KY 42602",For Sale,249000,,,
42602,"28 Eagle Point Dr Lot 28 and 29, Albany, KY 42602","Albany, KY 42602",For Sale,79000,,,
42602,"24 Eagle Point Dr Lot 24 and 25, Albany, KY 42602","Albany, KY 42602",For Sale,79000,,,
42602,"26 Eagle Point Dr Lot 26 and 27, Albany, KY 42602","Albany, KY 42602",For Sale,79000,,,
42602,"8 Stone Subdivision Clf Lot 8C, Albany, KY 42602","Albany, KY 42602",For Sale,19900,,,
42602,"1 Stone Subdivision Clf Lot 1C, Albany, KY 42602","Albany, KY 42602",For Sale,23900,,,
42602,"6 Stone Subdivision Clf Lot 6C, Albany, KY 42602","Albany, KY 42602",For Sale,19900,,,
42602,"1 Olympus Dr Lot 28, Albany, KY 42602","Albany, KY 42602",For Sale,9500,,,
42602,"7 Stone Subdivision Clf Lot 7C, Albany, KY 42602","Albany, KY 42602",For Sale,19900,,,
42602,"8 Eagle Point Dr Lot 8, Albany, KY 42602","Albany, KY 42602",For Sale,139000,,,
42602,"Highway 558, Albany, KY 42602","Albany, KY 42602",For Sale,349900,,,
42602,"9 Rockhouse Trace Rd Lot 9, Albany, KY 42602","Albany, KY 42602",For Sale,18900,,,
42602,"405 Central St, Albany, KY 42602","Albany, KY 42602",For Sale,69500,2,1,500
42602,"1119 Shelley St, Albany, KY 42602","Albany, KY 42602",For Sale,129900,3,1,1100
42602,"Lot 88 Crescent Subdivision Rdg Lot 88, Albany, KY 42602","Albany, KY 42602",For Sale,9900,,,
42602,"Griffin Trl Lot 74, Albany, KY 42602","Albany, KY 42602",For Sale,19900,,,
42602,"Crescent Subdivision Rdg Lot 45, Albany, KY 42602","Albany, KY 42602",For Sale,32900,,,
42602,"150 Evans School Rd, Albany, KY 42602","Albany, KY 42602",For Sale,35000,,,
42602,"Lakeview Dr, Albany, KY 42602","Albany, KY 42602",For Sale,219000,,,
42602,"Whitney Way, Albany, KY 42602","Albany, KY 42602",For Sale,55900,,,
42602,"Tract 8 Ruby Davis Rd, Albany, KY 42602","Albany, KY 42602",For Sale,62500,,,
42602,"Tract 5 Ruby Davis Rd, Albany, KY 42602","Albany, KY 42602",For Sale,62500,,,
42602,"Tract 4 Ruby Davis Rd, Albany, KY 42602","Albany, KY 42602",For Sale,62500,,,
42602,"Tract 9 Ruby Davis Rd, Albany, KY 42602","Albany, KY 42602",For Sale,62500,,,
