TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft
73701,1201 E Broadway Ave Apt B,"Enid, OK 73701",House,600,1,1,956
73701,1201 E Broadway Ave Apt J,"Enid, OK 73701",House,695,1,1,
73701,1910 N Grand St,"Enid, OK 73701",House,2000,2,1,
73701,724 E Park St,"Enid, OK 73701",House,750,4,1,1536
73701,3670 Antelope Dr,"Enid, OK 73701",House,1050,3,1.5,1095
73701,401 S 19th St,"Enid, OK 73701",House,495,2,1,829
73701,1306 Nancy Dr,"Enid, OK 73701",House,725,2,1,890
73701,410/412 E Oak Ave Unit 412,"Enid, OK 73701",Duplex/Triplex,750,2,1,900
73701,418 Addington,"Enid, OK 73701",House,2000,3,2,1780
73701,1713 N Quincy St,"Enid, OK 73701",House,695,2,1,
35950,1006 W Main St,"Albertville, AL 35950",House,1995,6,3,2777
35950,306 E McCord Ave,"Albertville, AL 35950",House,3195,6,3,2928
35950,301 W Main St Ste B,"Albertville, AL 35950",Other,5000,Studio,0.5+,6111
79108,10505 Broadway Dr Trlr C,"Amarillo, TX 79108",Other,825,2,1,924
79108,4611 Dumas Dr,"Amarillo, TX 79108",Other,845,2,1,
79108,4417 Brown Ave,"Amarillo, TX 79108",House,2299,4,2,2775
79108,10505 Broadway Dr,"Amarillo, TX 79108",Other,850,2,1,
79108,8403 N Highway 287,"Amarillo, TX 79108",Other,925,3,2,
79108,,,House,2500,4,3.5,2902
44001,44840 N Ridge Rd,"Amherst, OH 44001",House,1200,2,1,
44001,570 Fieldstone Dr,"Amherst, OH 44001",House,1900,3,2,2000
44001,2001 Cooper Foster Park Rd Apt 304,"Amherst, OH 44001",Apartment,750,1,1,485
44001,31 Westwoods,"Amherst, OH 44001",Apartment,1140,2,1 - 2,
44001,31 Westwoods,"Amherst, OH 44001",Apartment,1565,4,1 - 2,
44001,855 Cleveland Ave Unit 855,"Amherst, OH 44001",Apartment,1400,3,1,
44001,2001 Cooper Foster Park Rd Ste 1,"Amherst, OH 44001",Apartment,750,1,1,485
44001,2001 Cooper Foster Park Rd Apt 301,"Amherst, OH 44001",Apartment,750,1,1,485
44001,7055 Quarry Rd,"Amherst, OH 44001",Apartment,830,1,1,560
44001,7055 Quarry Rd,"Amherst, OH 44001",Apartment,1499,4,2,1344
44001,855 Cleveland Ave Unit 859,"Amherst, OH 44001",Apartment,1200,2,1,700
72764,726 E Emma Ave,"Springdale, AR 72764",Apartment,1075,Studio,1,497
72764,726 E Emma Ave,"Springdale, AR 72764",Apartment,1650,1,1,554
72764,3324 S Old Missouri Rd,"Springdale, AR 72764",Apartment,1469,2 - 3,2,861 - 1137
72764,3702-B Locksley St,"Springdale, AR 72764",Apartment,1500,3,2,1477 - 1483
72764,3702-B Locksley St,"Springdale, AR 72764",Apartment,1550,3,2,1477 - 1483
72764,3810 S Thompson Ave Unit 7,"Springdale, AR 72764",House,750,2,1,
72764,3810 S Thompson Ave Unit 6,"Springdale, AR 72764",House,1000,2,1,
72764,1517 Electric Ave,"Springdale, AR 72764",Apartment,774,Studio,1,540
72764,1517 Electric Ave,"Springdale, AR 72764",Apartment,1328,2,2,960
72764,514 Butterfield Coach Rd,"Springdale, AR 72764",Apartment,1330,1 - 2,1 - 2,825 - 1025
72764,3810 S Thompson Ave Unit 32,"Springdale, AR 72764",House,925,2,1,
72764,3810 S Thompson Ave Unit 5,"Springdale, AR 72764",House,1000,2,1,
72764,3810 S Thompson Ave Unit 35,"Springdale, AR 72764",House,1000,2,1,
72764,711 Mountain View Ave,"Springdale, AR 72764",House,1350,3,2,1091
72764,483 Branchwood Ave,"Springdale, AR 72764",House,1595,3,2,1502
72764,315 Texas Ln Apt 203,"Springdale, AR 72764",Condo,865,2,1,676
72764,1980 Friendship Wc 571 Rd,"Springdale, AR 72764",House,1800,3,2,2004
72764,316 Erin Pl Apt 202,"Springdale, AR 72764",Condo,1100,2,1,974
72764,315 Texas Ln Apt 106,"Springdale, AR 72764",Condo,1229,3,2,1280
72764,1571 Shannon St Unit B,"Springdale, AR 72764",Other,900,2,1,1995
72764,302 S Shiloh St,"Springdale, AR 72764",House,3000,3,2.5,2285
72764,Hidden Lake St,"Springdale, AR 72764",Apartment,995,2,2,1180
72764,1299 Electric Ave,"Springdale, AR 72764",Apartment,774,Studio,1,540
72764,1299 Electric Ave,"Springdale, AR 72764",Apartment,1312,2,2,960
72764,2005 Ashlee Dr,"Springdale, AR 72764",Apartment,1795,3,2,1450
72764,303 Park St,"Springdale, AR 72764",Apartment,Contact For Price,Studio+,,
72764,202 E Emma Ave,"Springdale, AR 72764",Apartment,925,Studio,1,470
72764,202 E Emma Ave,"Springdale, AR 72764",Apartment,1710,2,2,1057
72764,305-317 Berry St,"Springdale, AR 72764",Apartment,795,1,1,400
72764,3810 S Thompson St Unit 1,"Springdale, AR 72764",Apartment,1000,2,1,
72764,5325 N Oak St,"Springdale, AR 72764",Apartment,1170,2,2,912
72764,5325 N Oak St,"Springdale, AR 72764",Apartment,1440,4,2,1333
72764,Rochester Cir,"Springdale, AR 72764",Apartment,1275,2,2,1200
72764,2390 Hidden Lake St,"Springdale, AR 72764",Apartment,1350,3,2,1350
72764,249 Erin Pl,"Springdale, AR 72764",Apartment,1095,2,1,975
72764,1701 S West End St,"Springdale, AR 72764",Apartment,825,1,1,600 - 692
72764,1701 S West End St,"Springdale, AR 72764",Apartment,875,1,1,600 - 692
72764,809 Young St,"Springdale, AR 72764",Apartment,1250,2,1,920
72764,654 Terry Ave,"Springdale, AR 72764",House,1675,3,2,1384
72764,811 N Pleasant St,"Springdale, AR 72764",Apartment,900,1,1,560
72764,811 N Pleasant St,"Springdale, AR 72764",Apartment,1200,2,1,780
72764,100 Josie Pl,"Springdale, AR 72764",Apartment,1250,3,2,990
72764,580 E Randall Wobbe Ln,"Springdale, AR 72764",Apartment,1060,2,1,675
72764,4870 N Castlewood Ln,"Fayetteville, AR 72764",Apartment,1750,3,2,1612
72764,1406 Oriole St,"Springdale, AR 72764",Apartment,1113,2,1,800
72764,1406 Oriole St,"Springdale, AR 72764",Apartment,1223,3,2,1152
