TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
71801,"745 Highway 355 E, Hope, AR 71801","Hope, AR 71801",For Sale,95000,3,1,1460
71801,"1504 S Elm St, Hope, AR 71801","Hope, AR 71801",For Sale,140000,3,2,1422
71801,"3115 Highway 73 E, Hope, AR 71801","Hope, AR 71801",For Sale,160000,4,2,1905
71801,"1010 W 7th St, Hope, AR 71801","Hope, AR 71801",For Sale,70250,3,2,1232
71801,"621 S Fulton St, Hope, AR 71801","Hope, AR 71801",For Sale,38000,2,1,1280
71801,"181 Highway 32 E, Hope, AR 71801","Hope, AR 71801",For Sale,265000,4,2,2257
71801,"205 Hempstead # 254, Hope, AR 71801","Hope, AR 71801",Contingent,180000,3,2,1360
71801,"3143 AR Highway 174, Hope, AR 71801","Hope, AR 71801",For Sale,240000,4,3,3360
71801,"518 E 14th St, Hope, AR 71801","Hope, AR 71801",For Sale,220000,3,2,1915
71801,"2603 E 23rd St, Hope, AR 71801","Hope, AR 71801",Pending,210000,3,3,2254
71801,"1020 N Sherman St, Hope, AR 71801","Hope, AR 71801",For Sale,65000,3,2,1240
71801,"3093 Highway 29 N, Hope, AR 71801","Hope, AR 71801",For Sale,550000,3,3,2664
71801,"512 E Hickory St, Hope, AR 71801","Hope, AR 71801",For Sale,82000,3,2,1640
71801,"1901 Georgetown Dr, Hope, AR 71801","Hope, AR 71801",For Sale,489000,4,4,3877
71801,"Walmart Dr, Hope, AR 71801","Hope, AR 71801",For Sale,333887,,,
71801,"3143 AR Highway 174, Hope, AR 71801","Hope, AR 71801",For Sale,240000,4,3,2582
71801,"Highway 67, Hope, AR 71801","Hope, AR 71801",For Sale,15000,,,
71801,"5703 Patmos Hempstead 3 Rd Unit 5703, Hope, AR 71801","Hope, AR 71801",For Sale,349900,3,2,1959
71801,"San Fernando Rd, Hope, AR 71801","Hope, AR 71801",For Sale,22500,,,
71801,"3005 Highway 29 N, Hope, AR 71801","Hope, AR 71801",For Sale,230000,,,
71801,"2818 Highway 278 E, Hope, AR 71801","Hope, AR 71801",For Sale,257000,3,2,1802
71801,"1515 Pecan St, Hope, AR 71801","Hope, AR 71801",For Sale,65400,3,1,1248
71801,"407 E 17th St, Hope, AR 71801","Hope, AR 71801",Pending,215000,3,2,2062
71801,"Highway 32 E, Hope, AR 71801","Hope, AR 71801",For Sale,150000,,,
71801,"1412 Robinhood Ln, Hope, AR 71801","Hope, AR 71801",Pending,139500,3,2,1557
71801,"405 E 16th St, Hope, AR 71801","Hope, AR 71801",For Sale,215000,2,2,1936
71801,"712 E Hickory St, Hope, AR 71801","Hope, AR 71801",For Sale,15000,2,1,952
71801,"415 E Hickory St, Hope, AR 71801","Hope, AR 71801",For Sale,22000,2,1,1106
71801,"2402 W Plainview St, Hope, AR 71801","Hope, AR 71801",Pending,179500,3,2,1823
71801,"1503 S Pine Dr, Hope, AR 71801","Hope, AR 71801",For Sale,59000,3,1,1253
71801,"806 W Avenue F St, Hope, AR 71801","Hope, AR 71801",For Sale,119900,3,1,998
71801,"Hempstead 16, Hope, AR 71801","Hope, AR 71801",Contingent,40500,,,
71801,"5703 Patmos Rd, Hope, AR 71801","Hope, AR 71801",For Sale,359900,3,2,1959
71801,"4885 Highway 29 N, Hope, AR 71801","Hope, AR 71801",For Sale,1600000,5,4,3322
71801,"313 N Washington St, Hope, AR 71801","Hope, AR 71801",Pending,65000,3,2,1437
71801,"1900 Strong St, Hope, AR 71801","Hope, AR 71801",For Sale,329900,4,3.5,3205
71801,"Hempstead 16, Hope, AR 71801","Hope, AR 71801",Contingent,100500,,,
71801,"1805 E 28th St, Hope, AR 71801","Hope, AR 71801",For Sale,196100,,,
71801,"2717 Highway 278 E, Hope, AR 71801","Hope, AR 71801",For Sale,225000,3,2,1932
71801,"517 W 5th St, Hope, AR 71801","Hope, AR 71801",For Sale,175500,4,2,1847
71801,"706 E Short 6th St, Hope, AR 71801","Hope, AR 71801",Pending,62250,2,1,970
71801,"504 S Pine St, Hope, AR 71801","Hope, AR 71801",For Sale,69975,3,1,1040
71801,"1115 S Walnut St, Hope, AR 71801","Hope, AR 71801",For Sale,45000,3,1,1444
71801,"1303 Center St, Hope, AR 71801","Hope, AR 71801",For Sale,89500,2,1,1056
71801,"2503 Evangeline St Dr, Hope, AR 71801","Hope, AR 71801",Pending,187900,3,2,1784
71801,"402 N Ferguson St, Hope, AR 71801","Hope, AR 71801",For Sale,129900,4,2,1500
71801,"1000 N Hervey St, Hope, AR 71801","Hope, AR 71801",For Sale,25000,,,
71801,"County Road 5, Hope, AR 71801","Hope, AR 71801",For Sale,168000,,,
71801,"709 S Pine St, Hope, AR 71801","Hope, AR 71801",For Sale,129900,4,2,1500
71801,"500 N McRae St, Hope, AR 71801","Hope, AR 71801",For Sale,138750,4,2,1500
71801,"1401 S Elm St, Hope, AR 71801","Hope, AR 71801",Pending,68000,3,2,1120
71801,"Highway 195, Hope, AR 71801","Hope, AR 71801",For Sale,330000,,,
71801,"406 W 16th St, Hope, AR 71801","Hope, AR 71801",Pending,78000,3,1,1496
71801,"308 E 13th St, Hope, AR 71801","Hope, AR 71801",For Sale,10000,,,
71801,"Georgetown, Hope, AR 71801","Hope, AR 71801",For Sale,85000,,,
71801,,,For Sale,2700,,,
71801,"Bill Clinton Dr, Hope, AR 71801","Hope, AR 71801",For Sale,55000,,,
71801,"510 S Fulton St, Hope, AR 71801","Hope, AR 71801",Pending,40000,3,2,1892
71801,"1005 S Walnut St, Hope, AR 71801","Hope, AR 71801",For Sale,45000,3,2,1611
77029,"10234 Burman St, Jacinto City, TX 77029","Jacinto City, TX 77029",For Sale,225000,3,2.5,1744
77029,"10804 Palestine St, Houston, TX 77029","Houston, TX 77029",For Sale,394500,4,3,2277
77029,"10426 Norvic St, Houston, TX 77029","Houston, TX 77029",For Sale,230000,3,2,1150
77029,"1515 Teanaway Ln, Houston, TX 77029","Houston, TX 77029",For Sale,112000,2,1,880
77029,"8519 Farqueson St, Houston, TX 77029","Houston, TX 77029",Pending,40000,2,1,708
77029,"1314 Clinton Park St, Houston, TX 77029","Houston, TX 77029",For Sale,247490,4,2.5,2000
77029,"433 Calloway St, Houston, TX 77029","Houston, TX 77029",For Sale,224999,3,2,1365
77029,"11117 Oswego St, Houston, TX 77029","Houston, TX 77029",Pending,204990,3,2,1156
77029,"10638 Fairfax St, Houston, TX 77029","Houston, TX 77029",For Sale,179900,3,1.5,1039
77029,"8810 Cowart St, Houston, TX 77029","Houston, TX 77029",For Sale,225000,4,2.5,1887
77029,"210 Owens St, Houston, TX 77029","Houston, TX 77029",For Sale,85000,2,1,1120
77029,"1438 Demaree Ln, Houston, TX 77029","Houston, TX 77029",For Sale,175000,3,2,1342
77029,"9702 Signet St, Houston, TX 77029","Houston, TX 77029",For Sale,268000,3,2,1376
77029,"10530 Pillot St, Houston, TX 77029","Houston, TX 77029",For Sale,240000,5,2,2582
77029,"10209 Wiggins St Unit 14, Houston, TX 77029","Houston, TX 77029",For Sale,685000,1,,6874
77029,"Pelsey St, Houston, TX 77029","Houston, TX 77029",For Sale,23900,,,
77029,"3827 Beaver Dr, Houston, TX 77029","Houston, TX 77029",For Sale,150000,3,1,1620
77029,"3905 Amoor St, Houston, TX 77029","Houston, TX 77029",For Sale,185000,3,2,1568
77029,"430 Mississippi St, Houston, TX 77029","Houston, TX 77029",Pending,212500,3,2,1214
77029,"917 Defender St, Houston, TX 77029","Houston, TX 77029",For Sale,195990,3,2,1702
77029,"11213 Invierno St, Jacinto City, TX 77029","Jacinto City, TX 77029",Pending,129900,2,1,1104
77029,"322 New Hampshire St, Houston, TX 77029","Houston, TX 77029",For Sale,220000,3,2,972
77029,"405 Rhode Island St, Houston, TX 77029","Houston, TX 77029",For Sale,159900,3,2,1300
77029,"9704 Turnbow St, Houston, TX 77029","Houston, TX 77029",For Sale,249900,3,2,1350
77029,"314 Calloway St Lot 25, Houston, TX 77029","Houston, TX 77029",For Sale,110000,,,
77029,"10325 Lane St, Jacinto City, TX 77029","Jacinto City, TX 77029",For Sale,165000,2,1,884
77029,"10209 Palestine St, Houston, TX 77029","Houston, TX 77029",Pending,146000,2,1,951
77029,"261 Owens St, Houston, TX 77029","Houston, TX 77029",For Sale,69700,,,
77029,"10213 Burman St, Houston, TX 77029","Houston, TX 77029",Pending,150000,3,1,1100
77029,"326 Tite St, Houston, TX 77029","Houston, TX 77029",For Sale,224500,2,2,1119
77029,"9939 Lanewell St, Houston, TX 77029","Houston, TX 77029",For Sale,249955,3,2.5,1626
77029,"8603 Farqueson St, Houston, TX 77029","Houston, TX 77029",For Sale,95000,,,
77029,"9802 Nedwald St, Houston, TX 77029","Houston, TX 77029",For Sale,229990,3,2,1028
77029,"8715 Josie St, Houston, TX 77029","Houston, TX 77029",For Sale,200000,3,2,1006
77029,"604 Clinton Park St, Houston, TX 77029","Houston, TX 77029",For Sale,345500,3,2,1750
77029,"Dehaven, Houston, TX 77029","Houston, TX 77029",For Sale,60000,,,
77029,"9702 Garcroft St, Houston, TX 77029","Houston, TX 77029",For Sale,52000,,,
77029,"301 Delaware St, Houston, TX 77029","Houston, TX 77029",For Sale,233990,3,2,1298
77029,"305 Delaware St, Houston, TX 77029","Houston, TX 77029",For Sale,233990,3,2,1298
77029,"118 DE Haven St, Houston, TX 77029","Houston, TX 77029",Pending,224990,3,2,1028
77029,"1224 Holland St, Jacinto City, TX 77029","Jacinto City, TX 77029",For Sale,595000,3,1,1712
77029,"9927 Lanewell St, Houston, TX 77029","Houston, TX 77029",For Sale,249955,3,2.5,1626
77029,"317 Gans St, Houston, TX 77029","Houston, TX 77029",Pending,334990,3,,1744
77029,"9721 Yuma St, Houston, TX 77029","Houston, TX 77029",Pending,339990,6,4,1744
77029,"1427 Teanaway Ln, Houston, TX 77029","Houston, TX 77029",For Sale,69500,,,
77029,"9919 Lanewell St, Houston, TX 77029","Houston, TX 77029",For Sale,249955,3,2.5,1626
77029,"308 Rhode Island St, Houston, TX 77029","Houston, TX 77029",For Sale,233990,3,2,1298
