TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
72956,"6002 S Dogwood Hts, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,210000,3,3,1650
72956,"1227 Butterfield Trl, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,224900,3,3,2418
72956,"2506 Mimosa St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,315000,4,2,1719
72956,"305 Copsey Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,375000,4,3,2350
72956,"21 14th St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,165000,4,,1820
72956,"402 Mountain Edge, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,255000,3,2,1718
72956,"7616 Uniontown Hwy, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,150000,3,1,1040
72956,"608 13th St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,3,1,1428
72956,"737 Legacy Blvd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,375000,4,2,2231
72956,"703 Rena Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,248500,3,2,1840
72956,"982 Whitetail Trl, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,299900,3,2,1620
72956,"2938 Westville Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,174900,3,1.5,1374
72956,"5445 Wildwood Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,83500,2,1,638
72956,"1205 Northview Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,245000,3,2,1608
72956,"203 N 15 and 1411 Cedar St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,1,2,1.5,2156
72956,"214 Cane Hill St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,135000,3,1,1608
72956,"502 Jenny Wren St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,289900,4,3,2811
72956,"1208 N 26th St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,179900,4,1.5,1605
72956,"2004 Broken Hill Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,255000,3,2,1606
72956,"8509 S Camp Trl, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,365000,4,3,2190
72956,"5316 Wildwood Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,180000,,,
72956,"107 S 43rd St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,139900,3,1.5,1082
72956,"1002 N 12th St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,242000,4,2,1957
72956,"300-302`304-306-308-310 Franklin St, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,55000,,,3681
72956,"282 Hwy, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,135000,,,
72956,"1830 Pleasant Valley Pl, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,225000,4,2,1576
72956,"4699 Scott Farm Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,59850,,,
72956,"2715 Rebecca Lynn Ln, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,599000,5,2.5,3510
72956,"2000 Parkridge Dr, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,33000,,,
72956,"5636 Pine Hollow Rd, Van Buren, AR 72956","Van Buren, AR 72956",For Sale,100000,Studio,,
